new_index,Pris,address,zipcode,m2,rooms
5194, 2.695.000, Hallandsgade 6A,2300 København S,52,2
5195, 2.795.000, Sankt Kjelds Gade 23,2100 København Ø,50,1
5196, 2.850.000, Vestervang 31,8000 Aarhus C,70,3
5197, 3.300.000, Axeltorv 8,4700 Næstved,258,6
5198, 3.495.000, Svendborggade 16,2100 København Ø,59,2
5199, 3.695.000, Mikkelborg Park 5,2970 Hørsholm,99,3
5200, 3.695.000, Christianshavns Voldgade 25,1424 København K,51,2
5201, 4.295.000, Korsørgade 40,2100 København Ø,66,2
5202, 4.495.000, Strandvejen 14,6000 Kolding,147,4
5203, 5.495.000, Ved Amagerport 5,2300 København S,105,4
5204, 6.850.000, Julius Posselts Vej 3A,9400 Nørresundby,157,3
5205, 6.895.000, Sankt Thomas Alle 6,1824 Frederiksberg C,99,4
5206, 6.995.000, Islands Brygge 58,2300 København S,104,4
5207, 6.995.000, Bakkegårds Alle 9,1804 Frederiksberg C,95,5
5208, 7.995.000, Constantin Hansens Gade 23,1799 København V,127,6
5209, 998.000, Skjoldsgade 16B,6700 Esbjerg,67,2
5210, 1.045.000, Grønlandsvej 15,4700 Næstved,63,2
5211, 1.095.000, Holbækvej 32B,4000 Roskilde,51,2
5212, 1.095.000, Havnealle 33A,8700 Horsens,56,2
5213, 1.375.000, Bellevue 1,5900 Rudkøbing,98,2
5214, 1.395.000, Silkeborgvej 77,7400 Herning,84,2
5215, 1.395.000, Bagsværd Hovedgade 99,2880 Bagsværd,38,2
5216, 1.595.000, Adelgade 7 ,4720 Præstø,112,3
5217, 1.595.000, Signalvej 9,9000 Aalborg,69,2
5218, 1.598.000, Vestergrave 37A,8900 Randers C,130,5
5219, 1.895.000, Gammel Køge Landevej 233A,2650 Hvidovre,63,2
5220, 1.995.000, Rebæk Søpark 15,2650 Hvidovre,70,2
5221, 1.995.000, Frederiksdalsvej 12D,2830 Virum,59,2
5222, 1.999.000, Vestervang 41,8000 Aarhus C,46,1
5223, 2.095.000, Juelsparken 24,9210 Aalborg SØ,119,3
5224, 2.275.000, Rønnebærvej 10,2840 Holte,80,2
5225, 2.395.000, Hvidovrevej 275,2650 Hvidovre,78,2
5226, 2.495.000, Pakhustorvet 16,6000 Kolding,102,3
5227, 2.650.000, Silkeborgvej 305,8230 Åbyhøj,92,3
5228, 2.695.000, Søvang Alle 3,2770 Kastrup,55,2
5229, 2.795.000, Bindeledet 10,2880 Bagsværd,83,3
5230, 2.795.000, Lindebugten 2,2500 Valby,75,3
5231, 2.795.000, Farumgade 9,2200 København N,58,2
5232, 2.995.000, Rådhusvej 72,3200 Helsinge,116,5
5233, 3.048.000, Mariane Thomsens Gade 42,8000 Aarhus C,82,2
5234, 3.050.000, Asylgade 50 ,4000 Roskilde,102,3
5235, 3.195.000, Delta Park 30,2665 Vallensbæk Strand,95,3
5236, 3.299.000, Asylvej 5,6400 Sønderborg,184,5
5237, 3.495.000, Vølundsgade 22,2200 København N,60,2
5238, 5.795.000, Midtermolen 16,2100 København Ø,84,2
5239, 5.995.000, Kenny Drews Vej 83,2450 København SV,83,3
5240, 6.250.000, Kompagnivej 9,3520 Farum,106,3
5241, 6.695.000, Constantin Hansens Gade 21,1799 København V,100,4
5242, 7.295.000, Langelinie 6D,8700 Horsens,163,4
5243, 1.995.000, Brandholms Alle 20C,2610 Rødovre,61,3
5244, 2.795.000, Lyngbygårdsvej 75,2800 Kongens Lyngby,63,3
5245, 6.995.000, Flinterenden 4,2300 København S,142,5
5246, 14.750.000, Serridslevvej 36,2100 København Ø,216,6
5247, 1.195.000, Grejsdalsvej 326D,7100 Vejle,115,3
5248, 6.995.000, Østbanegade 111,2100 København Ø,131,5
5249, 598.000, Lervangen 53 2 tv ,8930 Randers NØ,71,3
5250, 675.000, Niels Juels Gade 7 1 tv ,8700 Horsens,41,1
5251, 975.000, Låsbygade 34B,6000 Kolding,61,2
5252, 1.995.000, Tycho Brahes Allé 21 3 tv ,2300 København S,48,2
5253, 2.395.000, Fuglsang Næs 7A 1 1 ,7400 Herning,122,3
5254, 2.595.000, Estlandsgade 15,9000 Aalborg,112,3
5255, 2.695.000, Skeltoftevej 2,2800 Kongens Lyngby,76,3
5256, 5.495.000, Dronningens Tværgade 42,1302 København K,83,3
5257, 5.895.000, Nansensgade 90,1366 København K,133,4
5258, 5.995.000, Nansensgade 90,1366 København K,141,5
5259, 6.995.000, Frederiksborggade 31,1360 København K,158,5
5260, 6.998.000, Badstuestræde 18D,1209 København K,111,3
5261, 9.495.000, Bryggertorvet 2,2900 Hellerup,147,4
5262, 19.900.000, Tuborg Havnepark 3 st tv ,2900 Hellerup,164,4
5263, 595.000, Danmarksgade 8,8900 Randers C,62,2
