new_index,Pris,address,zipcode,m2,rooms
0, 1.795.000, Kvintus Allé 3,2300 København S,38,1
1, 2.595.000, Skelhøjvej 9,2800 Kongens Lyngby,67,3
2, 3.595.000, Herninggade 5,2100 København Ø,64,0
3, 3.698.000, Vestre Ringgade 226,8000 Aarhus C,100,3
4, 3.995.000, Digevej 38,2300 København S,87,3
5, 5.995.000, Falkoner Alle 126,2000 Frederiksberg,97,4
6, 7.495.000, Grundtvigsvej 1,1864 Frederiksberg C,114,4
7, 8.395.000, Bag Elefanterne 31,1799 København V,137,6
8, 15.500.000, Dunkerquegade 21,2150 Nordhavn,152,4
9, 17.500.000, Frederiksberg Alle 19A,1820 Frederiksberg C,202,6
10, 665.000, Årestrupsvej 4 st mf ,9000 Aalborg,43,1
11, 745.000, Bogensevej 21 1 246 ,4700 Næstved,48,2
12, 1.075.000, Enemærket 1,5700 Svendborg,67,2
13, 1.595.000, Provstejorden 16 st tv ,9000 Aalborg,73,3
14, 1.845.000, Kongelundsvej 71C 1 1 ,2300 København S,46,1
15, 1.895.000, Klokkeskovvej 15T 1 7 ,8260 Viby J,93,3
16, 2.595.000, Ålandsgade 22,2300 København S,55,2
17, 2.695.000, Fuglsang Allé 15 4 tv ,7400 Herning,111,3
18, 2.895.000, Birkedommervej 22,2400 København NV,75,2
19, 2.895.000, Rødovre Parkvej 183 3 th ,2610 Rødovre,76,3
20, 3.495.000, Odysseus Alle 24 ,2650 Hvidovre,84,0
21, 3.495.000, Grøndahlsvej 11 9 3 ,7400 Herning,111,3
22, 5.295.000, Edvard Thomsens Vej 11 3 tv ,2300 København S,115,4
23, 5.995.000, Vestmannagade 3 4 th ,2300 København S,89,4
24, 525.000, Gl. Hobrovej 8 1 tv ,8920 Randers NV,66,2
25, 749.900, Søgårdevejen 8A,7620 Lemvig,57,3
26, 895.000, Ydunsvej 51,7000 Fredericia,97,0
27, 975.000, Nordlandsvej 81,7100 Vejle,69,2
28, 995.000, Revlingbakken 13,9000 Aalborg,69,2
29, 1.000.000, Dagmar Petersens Gade 60,8000 Aarhus C,72,2
30, 1.000.000, Dagmar Petersens Gade 56,8000 Aarhus C,74,3
31, 1.195.000, Pilegårdsvej 58,2860 Søborg,42,1
32, 1.195.000, Sjællandsgade 87,9000 Aalborg,53,2
33, 1.198.000, Skejbygårdsvej 4,8240 Risskov,51,2
34, 1.295.000, Holmehusvej 73,5000 Odense C,58,2
35, 1.375.000, Sabroesvej 15B,3000 Helsingør,55,2
36, 1.395.000, Østergade 21A,4700 Næstved,67,2
37, 1.433.000, Østerbro 59,9000 Aalborg,67,2
38, 1.498.000, Algade 45E ,4230 Skælskør,173,6
39, 1.595.000, Nordre Ringvej 10,2600 Glostrup,57,2
40, 1.595.000, Laurids Skaus Gade 20B ,6100 Haderslev,120,3
41, 1.625.000, Præstøvej 168C ,4700 Næstved,73,3
42, 1.649.000, Nordre Ringvej 12,2600 Glostrup,57,2
43, 1.650.000, Stigsborg Brygge 157 st mf ,9400 Nørresundby,53,1
44, 1.695.000, Vesterkøb 47,2640 Hedehusene,60,2
45, 1.798.000, Engdalsvej 73,8220 Brabrand,86,3
46, 1.850.000, Snerlevej 13,9000 Aalborg,79,3
47, 1.895.000, Thorsgade 15,5000 Odense C,66,3
48, 1.945.000, Buchwalds Bro 4,8700 Horsens,86,3
49, 1.975.000, Rugmarken 63,3060 Espergærde,87,3
50, 2.195.000, Søndermarken 64,3060 Espergærde,89,4
51, 2.195.000, Vejlebrovej 79,2635 Ishøj,71,2
52, 2.195.000, Enggårdsgade 38A,9000 Aalborg,105,4
53, 2.200.000, Pileborggade 26,4100 Ringsted,125,5
54, 2.245.000, Strandvejen 5A,6000 Kolding,103,2
55, 2.250.000, Holger Danskes Vej 87,2000 Frederiksberg,33,1
56, 2.295.000, Højagerparken 27,2750 Ballerup,74,3
57, 2.295.000, Alsgade 17A,6400 Sønderborg,196,4
58, 2.395.000, Ahornvej 3B,2970 Hørsholm,69,3
59, 2.498.000, Norgesgade 49,6700 Esbjerg,104,3
60, 2.545.000, Østre Havnegade 36B 6 tv ,9000 Aalborg,72,2
61, 2.598.000, Dronningensgade 42,1420 København K,47,1
62, 2.695.000, Stigsborg Brygge 145 3 tv ,9400 Nørresundby,89,2
63, 2.695.000, Hunderupvej 124B,5230 Odense M,146,1
64, 2.698.000, Marselis Boulevard 71,8000 Aarhus C,65,3
65, 2.795.000, Marbækvej 8,2750 Ballerup,77,2
66, 2.795.000, Gasværksvej 6,2970 Hørsholm,82,3
67, 2.890.000, Hamletsgade 4,2200 København N,60,2
68, 2.895.000, Nytorv 13B 1 tv ,9000 Aalborg,93,3
69, 2.995.000, Cikoriegade 15,2640 Hedehusene,88,3
70, 3.250.000, Sankt Kjelds Gade 27,2100 København Ø,58,2
71, 3.350.000, Pileborggade 26,4100 Ringsted,170,7
72, 3.495.000, Hørkær 21B,2730 Herlev,90,4
73, 3.495.000, Rigensgade 6,1316 København K,48,2
74, 3.495.000, Magstræde 4,1204 København K,52,1
75, 3.595.000, Søllerød Park 15,2840 Holte,79,2
76, 4.745.000, Jagtvej 187,2100 København Ø,85,3
77, 4.895.000, Selmersvej 1B,2970 Hørsholm,90,2
78, 4.995.000, Frederiksberg Alle 41,1820 Frederiksberg C,61,2
79, 4.999.000, Gormsgade 11,2200 København N,94,4
80, 5.195.000, Pennehave 7 2 ,2960 Rungsted Kyst,127,4
81, 5.995.000, Gothersgade 155,1123 København K,118,4
82, 6.895.000, Weidekampsgade 41,2300 København S,108,4
83, 7.195.000, Sortedam Dossering 19,2200 København N,111,3
84, 7.250.000, Løngangstræde 21A 3 th ,1468 København K,121,4
85, 9.900.000, Strandvejen 417C,2930 Klampenborg,108,4
86, 265.000, Nørmarkvej 29 1 12 ,7600 Struer,57,2
87, 495.000, Nyvangsvej 18,8900 Randers C,50,2
88, 525.000, Dalgas Alle 109,7800 Skive,47,1
89, 749.000, Willemoesgade 7,9000 Aalborg,44,1
90, 795.000, Kirstinelundsparken 7 ,4930 Maribo,60,2
91, 950.000, Ægirsvej 17,8920 Randers NV,92,4
92, 955.000, Østergade 40,8700 Horsens,52,2
93, 998.000, Kastetvej 15B,9000 Aalborg,48,2
94, 998.000, Strubjerg 22,9400 Nørresundby,80,3
95, 999.000, Willemoesgade 7,9000 Aalborg,65,2
96, 1.195.000, Brunevang 92,2610 Rødovre,45,1
97, 1.250.000, Bragesvej 25,3000 Helsingør,40,2
98, 1.295.000, Strubjerg 29,9400 Nørresundby,84,3
99, 1.299.000, Strubjerg 11,9400 Nørresundby,98,4
100, 1.345.000, Jernbanegade 18,9000 Aalborg,53,2
101, 1.495.000, Nyvangsvej 10,5000 Odense C,60,2
102, 1.495.000, Hadsundvej 86H,9000 Aalborg,88,4
103, 1.498.000, Snerlevej 15,9000 Aalborg,110,4
104, 1.500.000, Banegårdsplads 5B ,8382 Hinnerup,81,2
105, 1.595.000, Willemoesgade 7 2 th ,9000 Aalborg,84,3
106, 1.648.000, Ålekistevej 53,2720 Vanløse,40,1
107, 1.699.000, Rebæk Søpark 3,2650 Hvidovre,61,2
108, 1.700.000, Havnegade 19B 3 ,3600 Frederikssund,119,0
109, 1.750.000, Kantorparken 8,8240 Risskov,68,3
110, 1.750.000, Kildebakkegårds Alle 84,2860 Søborg,44,2
111, 1.798.000, Blomsterlunden 63,8381 Tilst,59,3
112, 1.850.000, Hovedvejen 146,2600 Glostrup,68,2
113, 1.895.000, Jansvej 1,2300 København S,43,2
114, 2.150.000, Marselis Boulevard 134,8000 Aarhus C,52,2
115, 2.300.000, Pærevangen 7,2765 Smørum,56,2
116, 2.445.000, Østerbæksvej 18,5230 Odense M,81,2
117, 2.495.000, Taastrup Hovedgade 111A,2630 Taastrup,68,3
118, 2.500.000, Skaffervej 11 st th ,2400 København NV,56,2
119, 2.595.000, Elmelyparken 7B,2680 Solrød Strand,99,3
120, 2.695.000, A.Andersens Vej 1A ,8600 Silkeborg,180,5
121, 2.695.000, Dybbølsgade 11,1721 København V,61,2
122, 2.795.000, Englandsvej 14,2300 København S,58,3
123, 2.795.000, Ålandsgade 3,2300 København S,49,2
124, 2.850.000, Himmerlandsvej 31,2720 Vanløse,70,4
125, 2.895.000, Nordborggade 38,8000 Aarhus C,77,3
126, 2.995.000, Stengade 26C,3000 Helsingør,147,4
127, 3.150.000, Søllerød Park 4,2840 Holte,88,3
128, 3.195.000, Nordre Frihavnsgade 100A,2100 København Ø,57,2
129, 3.295.000, Østerdalsgade 5,2300 København S,74,3
130, 3.298.000, Sølystgade 53,8000 Aarhus C,74,3
131, 3.395.000, Ægirsgade 18,2200 København N,70,3
132, 3.395.000, Godsbanegade 7,1722 København V,55,2
133, 3.450.000, Åhusene 9,8000 Aarhus C,69,3
134, 3.450.000, Harald Jensens Plads 17,8000 Aarhus C,93,3
135, 3.495.000, Uffesgade 10,2200 København N,55,2
136, 3.850.000, Studsgaardsgade 14,2100 København Ø,66,3
137, 3.995.000, Christiansgade 29 3 th ,8000 Aarhus C,104,4
138, 3.995.000, Skt. Pauls Gade 12,8000 Aarhus C,75,3
139, 3.995.000, Bonkesvej 3A,2650 Hvidovre,107,4
140, 4.495.000, Edvard Thomsens Vej 69,2300 København S,108,3
141, 4.595.000, Borups Allé 219,2400 København NV,122,5
142, 4.600.000, Skovvejen 44E,8000 Aarhus C,87,4
143, 4.795.000, Kong Georgs Vej 53,2000 Frederiksberg,83,3
144, 4.995.000, Nordre Fasanvej 164,2000 Frederiksberg,92,4
145, 4.998.000, Helga Pedersens Gade 9,8000 Aarhus C,113,4
146, 5.995.000, Gernersgade 11,1319 København K,78,3
147, 6.495.000, Amager Boulevard 110,2300 København S,122,4
148, 6.595.000, Gyldenløvesgade 21,1600 København V,123,4
149, 6.995.000, Jagtvej 191,2100 København Ø,126,4
150, 7.498.000, Teglholmens Østkaj 32,2450 København SV,111,3
151, 7.795.000, Strandgade 14,1401 København K,104,3
152, 8.495.000, Vodroffsvej 26 st th ,1900 Frederiksberg C,122,4
153, 8.498.000, Willemoesgade 63,2100 København Ø,126,4
154, 14.500.000, Klerkegade 2A,1308 København K,151,4
155, 475.000, Skelvangsvej 105,8920 Randers NV,67,2
156, 495.000, Lyksborgvej 38,7500 Holstebro,43,2
157, 595.000, Parkvej 10 4 th ,4700 Næstved,96,3
158, 695.000, Æbleparken 170,5270 Odense N,59,2
159, 750.000, Platanvej 36,8930 Randers NØ,81,2
160, 870.000, Fasanvej 34,8800 Viborg,93,4
161, 895.000, Søndermarken 26,3060 Espergærde,35,1
162, 895.000, Nørrevold 11B,6800 Varde,60,2
163, 995.000, Havnevej 24,4000 Roskilde,26,1
164, 995.000, Lathyrusvej 4,8930 Randers NØ,80,3
165, 995.000, Udsigten 15,6000 Kolding,70,2
166, 1.145.000, Jernbanegade 29,7000 Fredericia,88,3
167, 1.150.000, Snerlevej 11,9000 Aalborg,76,2
168, 1.248.000, Marbækvej 10,6700 Esbjerg,68,2
169, 1.248.000, Vesterhavsgade 67,6700 Esbjerg,75,2
170, 1.395.000, Torvegade 16C 2 tv ,4640 Faxe,110,4
171, 1.495.000, Malurtvej 23,9000 Aalborg,74,3
172, 1.498.000, Tøndebindervej 4,2400 København NV,37,1
173, 1.499.000, Møllegade 10,8700 Horsens,116,4
174, 1.545.000, Vesterbro 57 4 th ,9000 Aalborg,66,2
175, 1.575.000, Engblommevej 39,2400 København NV,35,1
176, 1.595.000, Præstekærvej 20,2700 Brønshøj,41,1
177, 1.645.000, Snerlevej 54,3000 Helsingør,70,2
178, 1.675.000, Mågevej 46,2400 København NV,54,2
179, 1.695.000, Karensmindevej 1 st th ,4300 Holbæk,66,2
180, 1.695.000, Kantorparken 22,8240 Risskov,68,2
181, 1.725.000, Jyllandsgade 11,8800 Viborg,93,3
182, 1.745.000, Edelhoffvej 2A,8462 Harlev J,76,3
183, 1.795.000, Smøgen 1,6950 Ringkøbing,123,3
184, 1.895.000, Østervej 25,2600 Glostrup,66,2
185, 1.980.000, Skejbygårdsvej 56,8240 Risskov,64,2
186, 1.995.000, Schleppegrellsgade 78 2 tv ,9000 Aalborg,71,3
187, 1.995.000, Frederiksdalsvej 105B,2830 Virum,52,2
188, 1.995.000, Birkerød Parkvej 44,3460 Birkerød,75,3
189, 2.095.000, Gladsaxevej 69,2860 Søborg,55,2
190, 2.125.000, Roskildevænget 31,4000 Roskilde,76,3
191, 2.195.000, Krudttårnsbakken 5,3300 Frederiksværk,99,3
192, 2.350.000, Lehwaldsvej 3,2800 Kongens Lyngby,68,2
193, 2.395.000, Kastrupkrogen 17,2770 Kastrup,54,2
194, 2.495.000, Tyrolsgade 12,2300 København S,45,2
195, 2.495.000, Hollandsvej 9,2800 Kongens Lyngby,56,2
196, 2.495.000, Johan Kellers Vej 59,2450 København SV,59,2
197, 2.650.000, Holsedore 18,5000 Odense C,78,2
198, 2.695.000, Rådmandsgade 40B,2200 København N,56,2
199, 2.795.000, Eriksgade 5,1708 København V,41,2
200, 2.795.000, Frederiksborgvej 17,2400 København NV,71,2
201, 2.798.000, Mejlbyvej 687,8530 Hjortshøj,238,7
202, 2.850.000, Randersgade 17,2100 København Ø,53,2
203, 2.875.000, Grønnegården 623A ,2670 Greve,81,4
204, 2.895.000, Jens Benzons Gade 34,5000 Odense C,102,3
205, 2.995.000, Vermlandsgade 76 2 th ,2300 København S,61,2
206, 2.995.000, Nørregade 26,5000 Odense C,125,5
207, 2.995.000, Kildebakkegårds Alle 108,2860 Søborg,58,5
208, 2.995.000, Rumæniensgade 4,2300 København S,65,2
209, 3.195.000, Jensløvs Tværvej 10,2920 Charlottenlund,89,4
210, 3.195.000, Marstalsgade 20,2100 København Ø,55,2
211, 3.495.000, Carl Langes Vej 48,2500 Valby,80,3
212, 3.495.000, Heimdalsgade 34,2200 København N,71,3
213, 3.695.000, Roret 143 ,3070 Snekkersten,112,3
214, 3.750.000, Falstersgade 46,8000 Aarhus C,83,3
215, 3.795.000, Bernstorffsvej 69B,2900 Hellerup,88,3
216, 3.795.000, Vibevej 47,2400 København NV,78,3
217, 3.875.000, Kirkebjerg Parkvej 2B,2600 Glostrup,106,4
218, 3.895.000, Esthersvej 45,2900 Hellerup,88,3
219, 3.998.000, Skernvej 12,8000 Aarhus C,95,3
220, 4.145.000, Hollændervej 4B,1855 Frederiksberg C,97,4
221, 4.295.000, Niels Hemmingsens Gade 23,1153 København K,99,2
222, 4.395.000, Johan Wilmanns Vej 4,2800 Kongens Lyngby,82,3
223, 4.695.000, Plantagevej 86,2610 Rødovre,107,4
224, 4.895.000, Øresundsvej 144A,2300 København S,80,2
225, 5.295.000, Julius Posselts Vej 3A,9400 Nørresundby,128,4
226, 5.695.000, Høje Skodsborgvej 26,2942 Skodsborg,79,3
227, 6.175.000, Platanvej 7,1810 Frederiksberg C,92,3
228, 6.350.000, Bryggernes Plads 20,1799 København V,91,3
229, 6.500.000, Richard Boones Vej 6,2450 København SV,103,3
230, 6.898.000, Beddingen 7B,9000 Aalborg,200,4
231, 7.195.000, Adelgade 1,1304 København K,116,3
232, 7.495.000, Markskellet 10,2720 Vanløse,220,6
233, 7.795.000, Lille Strandvej 2A,2900 Hellerup,117,4
234, 8.495.000, Holsedore 18C,5000 Odense C,223,5
235, 17.500.000, Livjægergade 21 1 tv ,2100 København Ø,226,6
236, 17.998.000, Trangravsvej 57,1436 København K,132,4
237, 545.000, Grønningen 29R ,9800 Hjørring,46,2
238, 550.000, Frederikssundsvej 346,2700 Brønshøj,35,1
239, 1.195.000, Floravænget 24,5250 Odense SV,82,3
240, 1.245.000, Dr. Holsts Vej 48,8230 Åbyhøj,47,2
241, 1.245.000, Grønnegade 14,9000 Aalborg,53,2
242, 1.295.000, Norgesgade 16,9000 Aalborg,55,2
243, 1.300.000, Fredskovhellet 2H,3400 Hillerød,60,1
244, 1.350.000, Rugmarken 39,3520 Farum,39,1
245, 1.375.000, Agerskovvej 4A,2610 Rødovre,52,1
246, 1.378.000, Engvej 8 1 ,9400 Nørresundby,96,3
247, 1.395.000, Østre Alle 38,9000 Aalborg,56,2
248, 1.425.000, Blomstermarken 109,9000 Aalborg,83,3
249, 1.495.000, Munkevænget 18,4180 Sorø,79,2
250, 1.595.000, Bådehavnsgade 43 ,2450 København SV,50,1
251, 1.645.000, Østergade 29C,4700 Næstved,100,4
252, 1.748.000, Rundhøj Allé 114,8270 Højbjerg,87,3
253, 1.750.000, Ryetvej 19,3500 Værløse,63,2
254, 1.775.000, Dronningensgade 51,5000 Odense C,62,3
255, 1.795.000, Agerskovvej 4K,2610 Rødovre,70,2
256, 1.795.000, Kochsgade 8,5000 Odense C,75,2
257, 1.898.000, Silkeborgvej 317,8230 Åbyhøj,61,2
258, 1.945.000, Poppel Alle 11,4000 Roskilde,57,2
259, 1.945.000, Usserød Kongevej 35A,2970 Hørsholm,60,2
260, 1.950.000, Egeparken 3,9000 Aalborg,76,2
261, 1.995.000, Astersvej 33,4600 Køge,69,2
262, 1.995.000, Vejlebrovej 56,2635 Ishøj,74,2
263, 1.998.000, Badevej 20N,6950 Ringkøbing,76,3
264, 2.095.000, Ejboparken 83B ,4000 Roskilde,75,2
265, 2.095.000, Astrupvej 78,2700 Brønshøj,56,2
266, 2.195.000, Borgmester Christiansens Gade 4,2450 København SV,49,2
267, 2.295.000, Rytterstaldstræde 3A,4200 Slagelse,136,4
268, 2.295.000, Maglekæret 22D ,2680 Solrød Strand,82,3
269, 2.298.000, Norgesgade 18,9000 Aalborg,69,3
270, 2.395.000, Slangerupgade 25B,3400 Hillerød,80,3
271, 2.395.000, Eremitageparken 201,2800 Kongens Lyngby,59,2
272, 2.395.000, Enggårdsgade 48,9000 Aalborg,118,4
273, 2.395.000, Rådhustorvet 37 ,3660 Stenløse,79,3
274, 2.495.000, Østergade 10,4700 Næstved,129,4
275, 2.495.000, Allehelgensgade 8A,4000 Roskilde,75,2
276, 2.495.000, Enghavevej 13,1674 København V,46,2
277, 2.495.000, Borups Allé 219,2400 København NV,64,3
278, 2.595.000, Falstersgade 46 2 th ,9000 Aalborg,83,3
279, 2.595.000, Fundersvej 6K,7100 Vejle,101,3
280, 2.598.000, Engtoften 8A,8260 Viby J,79,4
281, 2.850.000, Sallingvej 65,2720 Vanløse,81,3
282, 2.875.000, Rådmand Steins Alle 33,2000 Frederiksberg,71,2
283, 2.960.000, Ryetvej 21,3500 Værløse,96,4
284, 2.995.000, Flakholmen 11,2720 Vanløse,73,3
285, 3.150.000, Byporten 7 ,2970 Hørsholm,87,4
286, 3.195.000, Serbiensgade 5 3 th ,2300 København S,57,2
287, 3.195.000, Kildevældets Alle 4,2600 Glostrup,95,3
288, 3.199.000, Søndergade 20A ,8300 Odder,195,6
289, 3.249.000, Hvidovrevej 346,2650 Hvidovre,75,3
290, 3.290.000, Poppelgade 1,2200 København N,45,2
291, 3.395.000, Hauser Plads 26,1127 København K,49,2
292, 3.495.000, Danmarksgade 53 3 tv ,9000 Aalborg,121,4
293, 3.495.000, Ved Linden 3,2300 København S,70,2
294, 3.495.000, Harsdorffsvej 4B,1874 Frederiksberg C,54,2
295, 3.495.000, Hjortespringvej 44,2730 Herlev,79,2
296, 3.495.000, Amalievej 21,1875 Frederiksberg C,62,2
297, 3.495.000, Frue Kirke Stræde 3,4000 Roskilde,75,3
298, 3.898.000, Jerichausgade 11,8000 Aarhus C,77,3
299, 3.950.000, Steen Billes Gade 7 st ,8200 Aarhus N,112,4
300, 3.995.000, Frederiks Allé 102,8000 Aarhus C,80,3
301, 3.995.000, Strandboulevarden 119,2100 København Ø,68,3
302, 3.995.000, Ericavej 165,2820 Gentofte,123,5
303, 3.995.000, Bryggervangen 34,2100 København Ø,77,3
304, 3.995.000, Fiskedamsgade 18,2100 København Ø,54,2
305, 3.995.000, H. Schneekloths Vej 13,2000 Frederiksberg,75,3
306, 4.195.000, Munkensvej 11,2000 Frederiksberg,78,3
307, 4.495.000, Søndre Fasanvej 56,2000 Frederiksberg,84,3
308, 4.495.000, Bernhard Bangs Alle 1,2000 Frederiksberg,91,3
309, 4.495.000, Bratskovvej 1A,2720 Vanløse,83,4
310, 4.750.000, Ingerslevs Plads 1B,8000 Aarhus C,87,3
311, 4.750.000, Strandparken 35,8000 Aarhus C,102,4
312, 4.995.000, Ole Suhrs Gade 19,1354 København K,73,3
313, 4.998.000, Ceres Allé 7,8000 Aarhus C,110,4
314, 5.248.000, Teglholmsgade 6E,2450 København SV,102,3
315, 5.250.000, Silkeborggade 49,2100 København Ø,83,3
316, 5.495.000, Strandbjerg 4C,2960 Rungsted Kyst,114,3
317, 5.595.000, Eskildsgade 62,1657 København V,96,4
318, 5.995.000, Henrik Ibsens Vej 9,1813 Frederiksberg C,87,4
319, 5.995.000, Århusgade 140,2150 Nordhavn,96,3
320, 5.998.000, Sjællandsgade 112,8000 Aarhus C,129,6
321, 6.395.000, Thad Jones Vej 14,2450 København SV,101,3
322, 6.750.000, Åbenrå 35,1124 København K,101,4
323, 6.845.000, Halls Alle 12,1802 Frederiksberg C,95,4
324, 8.695.000, Vestergade 56D,8000 Aarhus C,144,3
325, 8.850.000, Classensgade 17A,2100 København Ø,136,4
326, 8.995.000, Havneholmen 82 4 th ,1561 København V,80,2
327, 595.000, Grøfthøjparken 151,8260 Viby J,33,1
328, 995.000, Stranden 70,9560 Hadsund,66,4
329, 1.095.000, Odinsvej 10,4700 Næstved,72,2
330, 1.198.000, Strubjerg 128,9400 Nørresundby,82,2
331, 1.248.000, Ingemanns Alle 175B,6700 Esbjerg,72,2
332, 1.375.000, Lollandsgade 9,9000 Aalborg,61,2
333, 1.399.000, Lotusvej 18,5250 Odense SV,91,4
334, 1.445.000, Istedgade 33,9000 Aalborg,50,2
335, 1.695.000, Breslaugade 10,2300 København S,38,1
336, 1.698.000, Danmarksgade 10,6700 Esbjerg,93,4
337, 1.750.000, Ellebækvej 60,2820 Gentofte,47,2
338, 1.795.000, Stjernepladsen 9 ,9000 Aalborg,47,2
339, 1.795.000, Københavnsvej 6D,3400 Hillerød,56,2
340, 1.849.000, Vejlebrovej 81,2635 Ishøj,66,2
341, 1.895.000, Sthensvej 7A,2630 Taastrup,54,1
342, 1.995.000, Lyngborghave 4B,3460 Birkerød,72,3
343, 2.195.000, Borgergade 23A,8700 Horsens,134,5
344, 2.195.000, Ulrikkenborg Alle 31,2800 Kongens Lyngby,44,1
345, 2.295.000, Bistrup Park 20 ,3460 Birkerød,73,3
346, 2.445.000, Vordingborggade 90,2100 København Ø,50,2
347, 2.498.000, Valdemarsgade 52,8000 Aarhus C,47,2
348, 2.595.000, Lyngbyvej 32C,2100 København Ø,64,1
349, 2.695.000, Ålandsgade 5,2300 København S,50,2
350, 2.995.000, Kantorparken 16,8240 Risskov,116,4
351, 3.100.000, Mariane Thomsens Gade 39,8000 Aarhus C,78,2
352, 3.198.000, Nygårdsvej 88,6700 Esbjerg,101,4
353, 3.295.000, Overgaden Oven Vandet 76,1415 København K,56,2
354, 3.395.000, Christian 8.s Vej 28,8600 Silkeborg,117,4
355, 3.495.000, Munkensvej 2,2000 Frederiksberg,67,2
356, 3.595.000, Matthæusgade 46B,1666 København V,54,2
357, 3.595.000, Poppellunden 8,4000 Roskilde,92,3
358, 3.650.000, Jyllingevej 4,2720 Vanløse,93,4
359, 3.995.000, Kongelysvej 12,2820 Gentofte,93,4
360, 3.995.000, Ved Bommen 45 ,2820 Gentofte,111,3
361, 3.995.000, Dronningens Tværgade 32,1302 København K,58,2
362, 4.195.000, Carit Etlars Vej 4B,1814 Frederiksberg C,71,2
363, 4.195.000, Edvard Thomsens Vej 23,2300 København S,97,4
364, 4.500.000, Præstøgade 16,2100 København Ø,73,3
365, 4.995.000, Sølystgade 44,8000 Aarhus C,110,4
366, 5.295.000, Øresundsvej 144F,2300 København S,94,3
367, 5.995.000, Strandpromenaden 3D,3000 Helsingør,147,4
368, 6.195.000, Monica Zetterlunds Vej 27,2450 København SV,99,4
369, 8.300.000, Dronning Olgas Vej 47,2000 Frederiksberg,124,4
370, 8.550.000, Adelgade 44A,8660 Skanderborg,202,5
371, 9.250.000, Dampfærgevej 24B 3 th ,2100 København Ø,118,2
372, 11.195.000, Sundkaj 13 ,2150 Nordhavn,161,5
373, 11.990.000, Frederiksvej 3,2000 Frederiksberg,195,6
374, 845.000, Grønningen 29E ,9800 Hjørring,73,2
375, 1.345.000, Højagerparken 19,2750 Ballerup,46,1
376, 2.150.000, Roskildevænget 6,4000 Roskilde,71,3
377, 2.295.000, Buegården 5,2880 Bagsværd,60,2
378, 2.395.000, Skjoldagervej 72,2820 Gentofte,57,2
379, 3.195.000, Ewaldsensvej 12,2000 Frederiksberg,66,2
380, 3.700.000, Burmeistersgade 19,1429 København K,51,2
381, 4.395.000, C.F. Møllers Allé 58,2300 København S,93,3
382, 5.195.000, Ben Websters Vej 106,2450 København SV,87,3
383, 8.995.000, Reventlowsgade 28,1651 København V,152,5
384, 485.000, Fægangen 14 st mf ,4180 Sorø,27,1
385, 695.000, H C Andersens Vej 65,4700 Næstved,39,2
386, 788.000, Nyvej 13 st th ,8920 Randers NV,68,2
387, 945.000, Revlingbakken 33 3 402 ,9000 Aalborg,68,2
388, 1.195.000, Dronningensgade 19 1 tv ,9400 Nørresundby,70,2
389, 1.200.000, Klingegade 13,3700 Rønne,109,2
390, 1.425.000, Østerbro 57 st th ,9000 Aalborg,58,2
391, 1.445.000, Bjergbygade 5C ,4200 Slagelse,86,2
392, 1.495.000, Orionvej 47B,4700 Næstved,80,3
393, 2.195.000, Bryggertorvet 21 ,3650 Ølstykke,68,3
394, 2.275.000, Hovedgaden 54B,4050 Skibby,88,3
395, 2.495.000, Søndre Fasanvej 94B,2500 Valby,53,1
396, 2.595.000, Lindevangshusene 90,2630 Taastrup,97,4
397, 2.695.000, Lombardigade 21,2300 København S,53,2
398, 3.198.000, Guldsmedgade 8 2 ,8000 Aarhus C,72,3
399, 3.350.000, Søbakkevej 2,2640 Hedehusene,87,3
400, 3.495.000, Matthæusgade 48C,1666 København V,71,2
401, 4.295.000, Sundevedsgade 21,1751 København V,68,2
402, 845.000, Nic Rumps Vej 6,4220 Korsør,79,3
403, 875.000, Ægirsvej 9,8920 Randers NV,84,3
404, 1.025.000, Christmas Møllers Vej 11,5200 Odense V,58,2
405, 1.095.000, Kystvejen 10E,9850 Hirtshals,54,2
406, 1.199.000, Møllegården 12,6320 Egernsund,84,3
407, 1.250.000, Rebæk Søpark 3,2650 Hvidovre,44,1
408, 1.250.000, Albanigade 67,5000 Odense C,48,1
409, 1.325.000, Bronzealdervænget 36,8210 Aarhus V,41,2
410, 1.395.000, Kildebakken 39,2860 Søborg,51,2
411, 1.395.000, Skibhusvej 181,5000 Odense C,75,3
412, 1.395.000, Holmegårdsparken 22,2980 Kokkedal,70,1
413, 1.495.000, Rebæk Søpark 3,2650 Hvidovre,44,1
414, 1.695.000, Dronningensgade 97,5000 Odense C,59,2
415, 1.695.000, Parken 16,3480 Fredensborg,56,2
416, 1.695.000, Teglgårdsvej 433,3050 Humlebæk,85,3
417, 1.795.000, Malmøgade 12,5000 Odense C,66,2
418, 1.845.000, Vesterbrogade 8,9400 Nørresundby,63,2
419, 1.895.000, Prinsensgade 6,7000 Fredericia,91,3
420, 1.895.000, Hibiscusvej 100 ,5200 Odense V,70,2
421, 1.898.000, Silkeborgvej 196,8000 Aarhus C,55,2
422, 1.995.000, Vangedevej 222B,2870 Dyssegård ,61,2
423, 1.995.000, Sønderskovvej 135,8520 Lystrup,79,3
424, 1.995.000, Orionvej 24 ,4700 Næstved,84,3
425, 1.998.000, Oslogade 12,8200 Aarhus N,63,2
426, 1.998.000, Skjoldsgade 16A,6700 Esbjerg,110,4
427, 1.998.000, Banegårdsgade 16,8000 Aarhus C,49,2
