,Pris,address,zipcode,m2,rooms,x,y,daycare_distance,train_distance,school_distance,supermarket_distance,hospital_distance,Region
43,1650000, Stigsborg Brygge 157 st mf ,9400 Nørresundby,53,1,9.93673746,57.05448393,1177.02,2462.55,1546.4,965.58,2558.98,Nordjylland
44,1695000, Vesterkøb 47,2640 Hedehusene,60,2,12.19548373,55.65429881,662.65,634.72,1018.62,136.69,7881.88,Hovedstaden
45,1798000, Engdalsvej 73,8220 Brabrand,86,3,10.12031625,56.15093429,390.1,6563.91,973.51,759.33,8142.94,Midtjylland
46,1850000, Snerlevej 13,9000 Aalborg,79,3,9.90625488,57.03330963,538.3,2000.69,957.01,340.72,1106.6,Nordjylland
47,1895000, Thorsgade 15,5000 Odense C,66,3,10.37753421,55.39671029,475.35,992.38,568.11,301.55,1881.12,Syddanmark
48,1945000, Buchwalds Bro 4,8700 Horsens,86,3,9.84706748,55.85803624,769.82,1234.27,908.37,350.4,2138.15,Midtjylland
49,1975000, Rugmarken 63,3060 Espergærde,87,3,12.53600017,55.99638347,773.93,841.03,364.61,594.3,7323.64,Hovedstaden
50,2195000, Søndermarken 64,3060 Espergærde,89,4,12.53820467,55.99371096,618.47,938.32,791.55,640.42,7873.45,Hovedstaden
51,2195000, Vejlebrovej 79,2635 Ishøj,71,2,12.36477994,55.6174885,205.54,8718.1,445.91,801.42,9056.52,Hovedstaden
52,2195000, Enggårdsgade 38A,9000 Aalborg,105,4,9.91508095,57.02870247,104.0,1982.14,180.15,1136.87,1701.11,Nordjylland
53,2200000, Pileborggade 26,4100 Ringsted,125,5,11.7947266,55.44452535,258.95,1149.45,226.1,676.77,1380.7,Hovedstaden
54,2245000, Strandvejen 5A,6000 Kolding,103,2,9.50169515,55.49974087,534.34,2000.14,1992.6,395.06,1953.42,Syddanmark
55,2250000, Holger Danskes Vej 87,2000 Frederiksberg,33,1,12.52980104,55.68831528,54.31,3101.28,683.76,268.41,839.03,Hovedstaden
56,2295000, Højagerparken 27,2750 Ballerup,74,3,12.36074627,55.73534479,582.11,11737.77,1140.63,569.4,6917.41,Hovedstaden
57,2295000, Alsgade 17A,6400 Sønderborg,196,4,9.79843527,54.91518664,630.42,1592.15,735.63,760.04,1289.25,Syddanmark
58,2395000, Ahornvej 3B,2970 Hørsholm,69,3,12.49575419,55.88721811,331.04,2413.4,794.65,119.05,16988.56,Hovedstaden
59,2498000, Norgesgade 49,6700 Esbjerg,104,3,8.45133934,55.4686791,217.41,559.56,231.55,591.97,1059.72,Syddanmark
60,2545000, Østre Havnegade 36B 6 tv ,9000 Aalborg,72,2,9.93657541,57.04823036,857.24,1735.14,1189.4,214.39,2012.71,Nordjylland
61,2598000, Dronningensgade 42,1420 København K,47,1,12.59138549,55.67152818,98.41,2126.4,222.65,181.12,3078.7,Hovedstaden
62,2695000, Stigsborg Brygge 145 3 tv ,9400 Nørresundby,89,2,9.93602394,57.05437984,1014.03,2380.65,1407.8,1009.88,2362.19,Nordjylland
63,2695000, Hunderupvej 124B,5230 Odense M,146,1,10.39004458,55.38188477,98.59,1626.71,1140.85,584.36,1765.53,Syddanmark
