,new_index,Pris,address,zipcode,m2,rooms,x,y,daycare_distance,train_distance,school_distance,supermarket_distance,hospital_distance,Region
0,0, 495.000, Nørmarkvej 29 1 12 ,7600 Struer,57,2,8.5958323,56.48271089,464.56,1594.73,1169.06,497.99,15116.95,Midtjylland
1,1, 525.000, Skelvangsvej 105,8920 Randers NV,67,2,10.01302461,56.48522697,490.1,3649.52,1510.22,1165.91,4289.22,Midtjylland
2,2, 525.000, Lyksborgvej 38,7500 Holstebro,43,2,8.61284016,56.37165312,259.2,1427.94,477.51,723.78,1964.17,Midtjylland
3,3, 595.000, Nyvangsvej 18,8900 Randers C,50,2,10.02736486,56.4666364,234.05,1197.57,358.13,404.26,2083.77,Midtjylland
4,4, 749.000, Dalgas Alle 109,7800 Skive,47,1,9.021491,56.54682621,892.49,2126.17,892.49,1217.77,3977.31,Nordjylland
5,5, 749.900, Lyngbyvej 239A,9480 Løkken,46,3,9.74688154,57.41270769,3513.54,17191.77,5792.11,5122.82,19086.03,Nordjylland
6,6, 795.000, Æbleparken 170,5270 Odense N,59,2,10.36899416,55.42685024,404.24,5047.22,1497.88,479.61,5985.07,Syddanmark
7,7, 895.000, Willemoesgade 7 ,9000 Aalborg,44,1,9.89967926,57.05506038,661.02,914.89,664.37,300.57,1257.92,Nordjylland
8,8, 955.000, Platanvej 36,8930 Randers NØ,81,2,10.04386857,56.48130565,172.74,4604.89,850.3,596.72,1869.29,Midtjylland
9,9, 975.000, Kirstinelundsparken 7 ,4930 Maribo,60,2,11.51132543,54.7759385,607.82,1409.96,306.71,317.66,1425.18,Sjælland
10,10, 995.000, Søndermarken 26,3060 Espergærde,35,1,12.54251305,55.99407463,425.25,648.41,1006.23,377.4,7336.51,Hovedstaden
11,11, 998.000, Nørrevold 11B,6800 Varde,60,2,8.47893135,55.623884,694.24,378.76,1047.2,302.67,18581.76,Syddanmark
12,12, 999.000, Ægirsvej 17,8920 Randers NV,92,4,10.01503438,56.47716908,697.84,2737.99,1196.78,561.67,3316.29,Midtjylland
13,13, 1.000.000, Østergade 40,8700 Horsens,52,2,9.85183156,55.86775272,150.36,2481.92,356.25,760.02,2266.99,Midtjylland
14,14, 1.000.000, Havnevej 24,4000 Roskilde,26,1,12.07686742,55.64687126,447.05,2233.84,896.23,878.14,2518.4,Hovedstaden
15,15, 1.195.000, Lathyrusvej 4,8930 Randers NØ,80,3,10.02952359,56.47803822,451.53,2986.48,1011.02,765.16,2242.78,Midtjylland
16,16, 1.195.000, Udsigten 15,6000 Kolding,70,2,9.46203809,55.49909797,384.55,2137.63,955.73,191.57,1891.87,Syddanmark
17,17, 1.195.000, Kastetvej 15B,9000 Aalborg,48,2,9.90928424,57.05224107,166.39,442.08,235.16,408.91,534.35,Nordjylland
18,18, 1.198.000, Strubjerg 22,9400 Nørresundby,80,3,9.91792389,57.07263002,340.25,1522.02,1022.82,739.34,3907.8,Nordjylland
19,19, 1.295.000, Willemoesgade 7 ,9000 Aalborg,65,2,9.89967926,57.05506038,661.02,914.89,664.37,300.57,1257.92,Nordjylland
20,20, 1.295.000, Jernbanegade 29,7000 Fredericia,88,4,9.74214993,55.56705243,896.79,312.48,1015.8,361.98,10525.96,Syddanmark
21,21, 1.299.000, Snerlevej 11,9000 Aalborg,76,2,9.90627221,57.03343232,550.93,1987.82,969.64,327.86,804.5,Nordjylland
22,22, 1.345.000, Brunevang 92,2610 Rødovre,45,1,12.45133688,55.70595125,901.98,7449.1,669.58,368.49,4731.78,Hovedstaden
23,23, 1.375.000, Marbækvej 10,6700 Esbjerg,68,2,8.43802893,55.47307158,541.42,1694.95,1040.54,292.02,1505.04,Syddanmark
24,24, 1.395.000, Vesterhavsgade 67,6700 Esbjerg,75,2,8.43551615,55.47036974,716.9,1614.76,1031.22,356.2,1863.65,Syddanmark
25,25, 1.433.000, Bragesvej 25,3000 Helsingør,40,2,12.59571387,56.03646723,499.83,1315.84,859.31,914.94,1438.77,Hovedstaden
26,26, 1.495.000, Strubjerg 29,9400 Nørresundby,84,3,9.91978706,57.07136132,296.7,1527.97,1003.28,550.9,3617.87,Nordjylland
27,27, 1.495.000, Strubjerg 11,9400 Nørresundby,98,4,9.91792468,57.07183351,382.05,1430.02,951.12,715.74,3773.51,Nordjylland
28,28, 1.498.000, Malurtvej 23,9000 Aalborg,74,3,9.89983159,57.02408978,337.07,2585.99,1184.52,451.4,2051.44,Nordjylland
29,29, 1.498.000, Nyvangsvej 10,5000 Odense C,60,2,10.39933437,55.40715416,239.44,1496.73,757.26,588.68,4895.28,Syddanmark
30,30, 1.500.000, Hadsundvej 86H,9000 Aalborg,88,4,9.9530395,57.03594493,355.52,2799.03,459.03,278.02,3393.91,Nordjylland
31,31, 1.595.000, Tøndebindervej 4,2400 København NV,37,1,12.5354919,55.70677645,136.46,3870.65,478.16,292.73,932.47,Hovedstaden
32,32, 1.595.000, Snerlevej 15,9000 Aalborg,110,4,9.90621339,57.03316871,553.64,2016.04,972.35,356.07,1126.48,Nordjylland
33,33, 1.625.000, Møllegade 10,8700 Horsens,116,4,9.84895279,55.86601073,383.61,2141.36,308.04,503.87,2129.53,Midtjylland
34,34, 1.648.000, Banegårdsplads 5B ,8382 Hinnerup,81,2,10.06041903,56.26291362,841.64,36.44,875.08,296.09,11954.96,Midtjylland
35,35, 1.649.000, Engblommevej 39,2400 København NV,35,1,12.52602638,55.72174726,439.67,3859.3,549.67,565.46,1925.54,Hovedstaden
36,36, 1.650.000, Willemoesgade 7 2 th ,9000 Aalborg,84,3,9.89967926,57.05506038,661.02,914.89,664.37,300.57,1257.92,Nordjylland
37,37, 1.695.000, Snerlevej 54,3000 Helsingør,70,2,12.58999783,56.02183057,191.15,1832.26,296.45,1250.29,2111.56,Hovedstaden
38,38, 1.699.000, Ålekistevej 53,2720 Vanløse,40,1,12.4842237,55.68086386,245.84,3113.76,320.59,53.99,3138.26,Hovedstaden
39,39, 1.750.000, Mågevej 46,2400 København NV,54,2,12.52724677,55.70144962,288.44,3924.11,406.9,379.77,1823.24,Hovedstaden
40,40, 1.750.000, Kantorparken 22,8240 Risskov,68,2,10.20984479,56.19769066,541.74,6489.84,1064.15,616.2,2934.77,Midtjylland
41,41, 1.798.000, Rebæk Søpark 3,2650 Hvidovre,61,2,12.45725527,55.66349042,331.9,5114.45,853.33,295.34,3509.07,Hovedstaden
42,42, 1.798.000, Havnegade 19B 3 ,3600 Frederikssund,119,0,12.05795562,55.83912365,698.39,12271.44,494.82,150.26,2878.67,Hovedstaden
43,43, 1.850.000, Jyllandsgade 11,8800 Viborg,93,3,9.39674683,56.44914602,1168.32,726.69,494.98,231.17,1349.69,Midtjylland
44,44, 1.895.000, Edelhoffvej 2A,8462 Harlev J,76,3,10.00172056,56.14197885,373.61,9957.21,688.7,462.18,14926.9,Midtjylland
45,45, 1.895.000, Kantorparken 8,8240 Risskov,68,3,10.20923384,56.19659143,642.46,6393.81,929.36,624.79,2887.85,Midtjylland
46,46, 1.945.000, Kildebakkegårds Alle 84,2860 Søborg,44,2,12.51111768,55.74188655,395.91,3721.54,529.22,503.1,2639.27,Hovedstaden
47,47, 1.975.000, Smøgen 1,6950 Ringkøbing,123,3,8.24273089,56.09028417,1898.53,1046.76,1811.9,115.06,829.94,Midtjylland
48,48, 2.150.000, Blomsterlunden 63,8381 Tilst,59,3,10.1268793,56.18765491,1155.18,7157.52,1300.88,1736.27,4994.53,Midtjylland
49,49, 2.195.000, Hovedvejen 146,2600 Glostrup,68,2,12.39184294,55.6660282,197.99,917.32,321.14,227.66,1458.6,Hovedstaden
50,50, 2.195.000, Østervej 25,2600 Glostrup,66,2,12.39122503,55.6678465,410.66,916.55,506.1,523.63,632.8,Hovedstaden
51,51, 2.195.000, Jansvej 1,2300 København S,43,2,12.61707276,55.6469749,150.07,2708.46,51.32,195.32,1273.13,Hovedstaden
52,52, 2.200.000, Skejbygårdsvej 56,8240 Risskov,64,2,10.19854287,56.19751767,395.19,6506.71,336.68,499.08,2282.72,Midtjylland
53,53, 2.245.000, Frederiksdalsvej 105B,2830 Virum,52,2,12.46852987,55.79460266,417.71,2537.2,927.05,301.17,9400.33,Hovedstaden
54,54, 2.250.000, Birkerød Parkvej 44,3460 Birkerød,75,3,12.41497851,55.83788541,233.83,10095.94,395.68,1279.05,14511.76,Hovedstaden
55,55, 2.295.000, Gladsaxevej 69,2860 Søborg,55,2,12.51455727,55.72917461,270.69,4448.95,965.96,572.01,3003.4,Hovedstaden
56,56, 2.295.000, Roskildevænget 31,4000 Roskilde,76,3,12.09345174,55.62820233,324.84,2151.05,469.32,260.74,1345.17,Hovedstaden
57,57, 2.300.000, Marselis Boulevard 134,8000 Aarhus C,52,2,10.18056868,56.1396762,334.87,2386.38,1158.29,233.87,7646.6,Midtjylland
58,58, 2.395.000, Pærevangen 7,2765 Smørum,56,2,12.31318936,55.74364999,548.94,13991.81,577.04,1025.74,10466.55,Hovedstaden
