new_index,Pris,address,zipcode,m2,rooms,x,y,daycare_distance,train_distance,school_distance,supermarket_distance,hospital_distance
2892, 3.695.000kr. , Kastruplundgade 43,2770 Kastrup,73,3,12.6438766,55.634188,296.1,1333.84,748.48,317.21,3214.03
2893, 3.845.000kr. , Adelgade 44,8660 Skanderborg,110,3,9.93302769,56.03145,564.34,1682.65,792.64,236.32,551.89
2894, 4.195.000kr. , Løgstørgade 32,2100 København Ø,66,2,12.58372079,55.70770399,133.12,2150.98,362.5,216.33,2237.02
2895, 4.295.000kr. , Sundkaj 75,2150 Nordhavn,70,2,12.59775928,55.71005876,608.08,2649.6,904.73,583.61,3384.37
2896, 4.495.000kr. , Platanvej 24,1810 Frederiksberg C,79,2,12.53920569,55.67127765,218.6,2050.81,340.38,188.91,2713.97
2897, 4.495.000kr. , Jyllandsgade 74,7000 Fredericia,138,4,9.76743865,55.565465,182.0,2103.98,42.76,649.09,12233.35
2898, 5.295.000kr. , Margretheholmsvej 60,1432 København K,93,4,12.61557345,55.68596113,1289.95,3419.34,2145.9,1706.0,4310.76
2899, 6.350.000kr. , Vestergade 69,8000 Aarhus C,186,6,10.19939515,56.15712887,716.5,1436.67,529.88,54.66,5195.18
2900, 7.295.000kr. , Dr. Abildgaards Alle 16,1955 Frederiksberg C,117,4,12.53934258,55.68289417,279.58,2456.22,672.19,352.64,1506.29
2901, 7.300.000kr. , Mariane Thomsens Gade 52,8000 Aarhus C,170,4,10.22981186,56.1646821,1625.8,2781.23,1979.15,1351.7,6428.15
2902, 7.995.000kr. , Constantin Hansens Gade 21,1799 København V,123,5,12.5347057,55.66810642,371.67,1683.78,568.85,130.64,3082.73
2903, 7.995.000kr. , Ringstedgade 76A ,4000 Roskilde,141,5,12.07270477,55.63392571,837.51,1471.03,837.09,214.09,1755.49
2904, 8.295.000kr. , Malttorvet 22,1799 København V,130,5,12.52969229,55.66517313,472.61,1219.15,934.42,640.16,3576.8
2905, 8.750.000kr. , Gothersgade 155 2 tv ,1123 København K,150,5,12.56869581,55.68572261,169.87,536.12,304.16,172.85,1667.36
2906, 730.000kr. , Snerlevej 1 2 th ,8930 Randers NØ,64,3,10.0307979,56.47473013,291.77,2579.36,966.48,596.58,1831.96
2907, 875.000kr. , Agtrupvej 1,6000 Kolding,59,2,9.471559,55.48411164,230.79,1953.3,481.21,508.94,2827.85
2908, 895.000kr. , Tøndervej 54A,6000 Kolding,52,2,9.46719165,55.48672474,168.32,2000.07,118.31,361.37,2839.45
2909, 895.000kr. , Skibhusvej 169,5000 Odense C,39,1,10.39629686,55.41353946,265.23,1846.5,160.82,662.59,5162.35
2910, 975.000kr. , Ankersvej 3F,8722 Hedensted,67,2,9.70000709,55.77128412,377.05,546.45,791.63,401.49,12526.03
2911, 1.095.000kr. , Bocks Bjerg 21 ,6300 Gråsten,86,3,9.59902937,54.92198136,657.43,539.29,988.88,434.06,16044.11
2912, 1.145.000kr. , Vesterbrogade 31 3 tv ,7000 Fredericia,98,4,9.74211075,55.56866689,1013.91,385.7,1132.92,479.1,10749.09
2913, 1.148.000kr. , Søndermarksvej 37,4200 Slagelse,107,3,11.38894736,55.4075852,352.48,3439.09,326.43,927.6,3027.94
2914, 1.185.000kr. , Mejerivej 32A ,8300 Odder,74,2,10.15533007,55.97438975,680.32,18226.01,573.37,506.88,20190.08
2915, 1.195.000kr. , Lindholmsvej 4 st th ,9400 Nørresundby,65,2,9.91779563,57.0614545,446.71,1360.47,258.07,267.41,1855.27
2916, 1.195.000kr. , Vestervangsvej 63,8800 Viborg,122,4,9.39398442,56.46262705,385.75,2296.53,1076.18,555.47,2862.03
2917, 1.195.000kr. , Lillegade 12,9500 Hobro,102,4,9.79399286,56.63779367,556.1,1424.7,319.75,147.89,1230.32
2918, 1.245.000kr. , Brinchs Have 1,2630 Taastrup,36,1,12.29974965,55.64589981,348.4,3594.0,354.86,665.63,7939.75
2919, 1.348.000kr. , Falstersgade 21 2 tv ,9000 Aalborg,56,2,9.94519788,57.04256748,580.93,1883.86,962.91,485.37,2897.92
2920, 1.395.000kr. , Dyrehavevej 152 st ,6000 Kolding,91,3,9.46927648,55.499163,404.86,1624.23,1169.44,735.67,1287.81
2921, 1.395.000kr. , Teglgårdsvej 549,3050 Humlebæk,53,1,12.52311346,55.95809459,391.67,1306.46,1130.55,1007.67,13712.69
2922, 1.398.000kr. , Olaf Rudes Vej 23,8270 Højbjerg,53,2,10.19581048,56.11810821,83.7,2960.15,871.38,167.58,9924.97
2923, 1.475.000kr. , Engtoften 10,8260 Viby J,47,2,10.1661886,56.12267749,810.26,655.9,326.18,323.95,10012.03
2924, 1.495.000kr. , Belvederevej 50,3000 Helsingør,60,2,12.5964388,56.03515399,337.14,1495.05,886.64,1006.56,853.92
2925, 1.595.000kr. , Jyllandsgade 13,8800 Viborg,99,3,9.3967091,56.44902836,1160.5,735.03,504.95,241.24,1357.93
2926, 1.648.000kr. , Frodesgade 181,6700 Esbjerg,88,3,8.43695774,55.47398448,692.5,1785.63,1178.13,144.23,1689.78
2927, 1.650.000kr. , Vestergrave 37B 1 ,8900 Randers C,171,5,10.03745821,56.45762154,837.86,1261.3,1138.46,370.29,2099.0
2928, 1.668.000kr. , Taastrup Have 47,2630 Taastrup,55,2,12.29421424,55.65247428,708.52,2594.75,657.88,593.56,7649.5
2929, 1.695.000kr. , Strandvejen 1C ,7130 Juelsminde,82,4,10.01435759,55.71467069,2288.28,25135.85,2014.51,234.88,25965.03
2930, 1.695.000kr. , Julius Posselts Vej 3B,9400 Nørresundby,75,2,9.90012321,57.0654224,495.86,408.06,773.16,768.01,3097.36
2931, 1.750.000kr. , Teglgårdsvej 641,3050 Humlebæk,74,3,12.523291,55.95693089,348.66,1908.46,1047.23,1021.15,13891.37
2932, 1.775.000kr. , Ranunkelvej 163,8471 Sabro,75,3,10.04337659,56.21075319,430.23,9367.84,1659.64,574.82,12553.46
